S.No.,Name,CMP Rs.,TruFace Rs.,Mar Cap Rs.Cr. ,Sales Rs.Cr.,spe %,NP 12M Rs.Cr.,EPS 12M Rs.,P/E,Div Yld %,CMP / BV,Vol 1d,Face value Rs.,B.V. Rs.,QoQ Profits %,No. Eq. Shares Cr.,Debt / Eq
351,CreditAcc. Gram.,1211.5,121.15,19316.55,5508.66,3.51,1497.28,94,12.90,0.83,2.94,346443,10,412.23,0.17,15.94,3.32
352,Titagarh Rail,1427.95,713.98,19230.74,3845.59,5.00,291.37,21.94,65.50,0.06,8.67,758020,2,164.72,-15.12,13.47,0.07
353,Techno Elec.Engg,1647.25,823.63,19157.45,1603.82,11.94,341.3,31.71,64.62,0.36,8.20,191193,2,201.01,26.52,11.63,0.00
354,Blue Dart Expres,8051.85,805.19,19107.04,5372.99,3.55,293.15,123.55,65.18,0.31,13.97,9909,10,576.23,-31.32,2.37,0.78
355,Elgi Equipments,600.55,600.55,19031.97,3294.95,5.78,324.25,10.23,58.70,0.33,11.81,263458,1,50.84,-4.46,31.69,0.40
356,The Ramco Cement,804.95,804.95,19020.36,9223.24,2.06,318.7,13.66,59.68,0.31,2.63,266792,1,306.31,-71.55,23.63,0.68
357,HFCL,131.71,131.71,19001.44,4628.1,4.11,372.61,2.6,51.12,0.15,4.80,31011245,1,27.45,1.18,144.27,0.25
358,Trident,37.09,37.09,18901.32,7057.83,2.68,332.52,0.65,57.39,0.97,4.38,5679370,1,8.47,25.22,509.61,0.49
359,Poly Medicure,1951.95,390.39,18733.14,1439.74,13.02,269.61,28.1,69.48,0.15,12.74,61575,5,153.18,8.31,9.6,0.12
360,IFCI,71.64,7.16,18723.77,2054.52,9.11,282.97,0.71,118.56,0.00,3.47,20681902,10,20.65,-155.91,261.36,1.18
361,Welspun Corp,706.7,141.34,18531.43,16407.56,1.13,1215.49,45.55,15.54,0.71,3.29,4766093,5,214.64,-13.69,26.22,0.35
362,Krishna Institu.,2312.45,231.25,18506.03,2580.52,7.17,344.55,39.48,58.57,0.00,10.12,122031,10,228.47,33.15,8,0.74
363,R R Kabel,1634.2,326.84,18475.71,6805.37,2.72,287.23,25.46,64.32,0.37,10.11,147659,5,161.7,-18.58,11.31,0.20
364,Kirloskar Oil,1269.9,634.95,18421.01,5990.5,3.08,470.62,32.81,38.73,0.47,6.88,675656,2,184.62,6.57,14.51,1.55
365,Bata India,1421.15,284.23,18265.69,3465.09,5.27,329.68,25.65,51.54,0.84,11.96,384634,5,118.8,173.46,12.85,0.89
366,Zensar Tech.,797.6,398.8,18079.32,4962.7,3.64,666.8,29.43,27.11,1.13,5.07,4552628,2,157.17,-8.89,22.67,0.05
367,Guj.St.Petronet,318.65,31.87,17978.60,17913.51,1.00,2276.26,30.12,10.77,1.57,1.66,435975,10,191.86,-20.59,56.42,0.01
368,Mahanagar Gas,1817.9,181.79,17956.81,6296.37,2.85,1205.2,122.01,14.90,1.65,3.49,615701,10,520.65,7.37,9.88,0.03
